HGNC.ID,HGNCsymbol,Approved.name,Chromosome,Pubmed.IDs,OMIM.ID,UniProt.ID
HGNC:5772,IGKV1OR22-1,immunoglobulin kappa variable 1/OR22-1 (pseudogene),22q11.1,,,
HGNC:5773,IGKV1OR22-5,immunoglobulin kappa variable 1/OR22-5 (pseudogene),22q11,6087279,,
HGNC:5774,IGKV1OR22-5A,"symbol withdrawn, see [HGNC:5773](/data/gene-symbol-report/#!/hgnc_id/HGNC:5773)",22q11,,,
HGNC:37729,IGKV1ORY-1,immunoglobulin kappa variable 1/ORY-1 (pseudogene),Yq11.21,,,
HGNC:5775,IGKV2,"symbol withdrawn, see [HGNC:5728](/data/gene-symbol-report/#!/hgnc_id/HGNC:5728)",,,,
HGNC:5788,IGKV2-4,immunoglobulin kappa variable 2-4 (pseudogene),2p11.2,,,
HGNC:5776,IGKV2-10,immunoglobulin kappa variable 2-10 (pseudogene),2p11.2,,,
HGNC:5777,IGKV2-14,immunoglobulin kappa variable 2-14 (pseudogene),2p11.2,,,
HGNC:5778,IGKV2-18,immunoglobulin kappa variable 2-18 (pseudogene),2p11.2,,,
HGNC:5779,IGKV2-19,immunoglobulin kappa variable 2-19 (pseudogene),2p11.2,,,
HGNC:5780,IGKV2-23,immunoglobulin kappa variable 2-23 (pseudogene),2p11.2,,,
HGNC:5781,IGKV2-24,immunoglobulin kappa variable 2-24,2p11.2,,,A0A0C4DH68
HGNC:5782,IGKV2-26,immunoglobulin kappa variable 2-26 (pseudogene),2p11.2,,,
HGNC:5783,IGKV2-28,immunoglobulin kappa variable 2-28,2p11.2,,,A0A075B6P5
HGNC:5784,IGKV2-29,immunoglobulin kappa variable 2-29,2p11.2,,,A2NJV5
HGNC:5785,IGKV2-30,immunoglobulin kappa variable 2-30,2p11.2,,,P06310
HGNC:5786,IGKV2-36,immunoglobulin kappa variable 2-36 (pseudogene),2p11.2,,,
HGNC:5787,IGKV2-38,immunoglobulin kappa variable 2-38 (pseudogene),2p11.2,,,
HGNC:5789,IGKV2-40,immunoglobulin kappa variable 2-40,2p11.2,,,A0A087WW87
HGNC:5790,IGKV2@,"symbol withdrawn, see [HGNC:5728](/data/gene-symbol-report/#!/hgnc_id/HGNC:5728)",,,,
HGNC:5792,IGKV2D-10,immunoglobulin kappa variable 2D-10 (pseudogene),2p11.2,,,
HGNC:5793,IGKV2D-14,immunoglobulin kappa variable 2D-14 (pseudogene),2p11.2,,,
HGNC:5794,IGKV2D-18,immunoglobulin kappa variable 2D-18 (pseudogene),2p11.2,,,
HGNC:5795,IGKV2D-19,immunoglobulin kappa variable 2D-19 (pseudogene),2p11.2,,,
HGNC:5796,IGKV2D-23,immunoglobulin kappa variable 2D-23 (pseudogene),2p11.2,,,
HGNC:5797,IGKV2D-24,immunoglobulin kappa variable 2D-24 (non-functional),2p11.2,,,A0A075B6R9
HGNC:5798,IGKV2D-26,immunoglobulin kappa variable 2D-26,2p11.2,,,A0A0A0MRZ7
HGNC:5799,IGKV2D-28,immunoglobulin kappa variable 2D-28,2p11.2,,,P01615
HGNC:5800,IGKV2D-29,immunoglobulin kappa variable 2D-29,2p11.2,,,A0A075B6S2
HGNC:5801,IGKV2D-30,immunoglobulin kappa variable 2D-30,2p11.2,,,A0A075B6S6
HGNC:5802,IGKV2D-36,immunoglobulin kappa variable 2D-36 (pseudogene),2p11.2,,,
HGNC:5803,IGKV2D-38,immunoglobulin kappa variable 2D-38 (pseudogene),2p11.2,,,
HGNC:5804,IGKV2D-40,immunoglobulin kappa variable 2D-40,2p11.2,,,P01614
HGNC:5805,IGKV2OR2-1,immunoglobulin kappa variable 2/OR2-1 (pseudogene),2q11.2,8011175,,
HGNC:5807,IGKV2OR2-1A,"symbol withdrawn, see [HGNC:5805](/data/gene-symbol-report/#!/hgnc_id/HGNC:5805)",2pter-qter,,,
HGNC:5808,IGKV2OR2-2,immunoglobulin kappa variable 2/OR2-2 (pseudogene),2q11.2,2111145,,
HGNC:5809,IGKV2OR2-4,immunoglobulin kappa variable 2/OR2-4 (pseudogene),2q11.2,2111145,,
HGNC:5810,IGKV2OR2-7,immunoglobulin kappa variable 2/OR2-7 (pseudogene),2q11.2,,,
HGNC:37489,IGKV2OR2-7D,immunoglobulin kappa variable 2/OR2-7D (pseudogene),2q11.2,,,
HGNC:5811,IGKV2OR2-8,immunoglobulin kappa variable 2/OR2-8 (pseudogene),2q11.2,,,
HGNC:5806,IGKV2OR2-10,immunoglobulin kappa variable 2/OR2-10 (pseudogene),2q11.2,,,
HGNC:5812,IGKV2OR22-3,immunoglobulin kappa variable 2/OR22-3 (pseudogene),22q11.1,,,
HGNC:5813,IGKV2OR22-4,immunoglobulin kappa variable 2/OR22-4 (pseudogene),22q11.1,,,
HGNC:5814,IGKV3,"symbol withdrawn, see [HGNC:5728](/data/gene-symbol-report/#!/hgnc_id/HGNC:5728)",,,,
HGNC:5821,IGKV3-7,immunoglobulin kappa variable 3-7 (non-functional),2p11.2,,,A0A075B6H7
HGNC:5815,IGKV3-11,immunoglobulin kappa variable 3-11,2p11.2,,,P04433
HGNC:5816,IGKV3-15,immunoglobulin kappa variable 3-15,2p11.2,,,P01624
HGNC:5817,IGKV3-20,immunoglobulin kappa variable 3-20,2p11.2,,,P01619
HGNC:5818,IGKV3-25,immunoglobulin kappa variable 3-25 (pseudogene),2p11.2,,,
HGNC:5819,IGKV3-31,immunoglobulin kappa variable 3-31 (pseudogene),2p11.2,,,
HGNC:5820,IGKV3-34,immunoglobulin kappa variable 3-34 (pseudogene),2p11.2,,,
HGNC:5822,IGKV3@,"symbol withdrawn, see [HGNC:5728](/data/gene-symbol-report/#!/hgnc_id/HGNC:5728)",,,,
HGNC:5829,IGKV3D-7,immunoglobulin kappa variable 3D-7,2p11.2,,,A0A0C4DH55
HGNC:5823,IGKV3D-11,immunoglobulin kappa variable 3D-11,2p11.2,,,A0A0A0MRZ8
HGNC:5824,IGKV3D-15,immunoglobulin kappa variable 3D-15,2p11.2,,,A0A087WSY6
HGNC:5825,IGKV3D-20,immunoglobulin kappa variable 3D-20,2p11.2,,,A0A0C4DH25
HGNC:5826,IGKV3D-25,immunoglobulin kappa variable 3D-25 (pseudogene),2p11.2,,,
HGNC:5827,IGKV3D-31,immunoglobulin kappa variable 3D-31 (pseudogene),2p11.2,,,
HGNC:5828,IGKV3D-34,immunoglobulin kappa variable 3D-34 (pseudogene),2p11.2,,,
HGNC:5832,IGKV3OR2-5,immunoglobulin kappa variable 3/OR2-5 (pseudogene),2q11.2,,,
HGNC:5830,IGKV3OR2-268,immunoglobulin kappa variable 3/OR2-268 (non-functional),2p12,7959772,,
HGNC:5831,IGKV3OR2-268A,"symbol withdrawn, see [HGNC:5830](/data/gene-symbol-report/#!/hgnc_id/HGNC:5830)",2p11.2,,,
HGNC:5833,IGKV3OR22-2,immunoglobulin kappa variable 3/OR22-2 (pseudogene),22q11.1,,,
HGNC:5834,IGKV4-1,immunoglobulin kappa variable 4-1,2p11.2,,,P06312
HGNC:5835,IGKV5-2,immunoglobulin kappa variable 5-2,2p11.2,,,P06315
HGNC:5836,IGKV6-21,immunoglobulin kappa variable 6-21 (non-functional),2p11.2,,,A0A0C4DH24
HGNC:5837,IGKV6D-21,immunoglobulin kappa variable 6D-21 (non-functional),2p11.2,,,A0A0A0MT36
HGNC:5838,IGKV6D-41,immunoglobulin kappa variable 6D-41 (non-functional),2p11.2,,,A0A0C4DH26
HGNC:5839,IGKV7-3,immunoglobulin kappa variable 7-3 (pseudogene),2p11.2,,,
HGNC:5791,IGKV268,"symbol withdrawn, see [HGNC:5830](/data/gene-symbol-report/#!/hgnc_id/HGNC:5830)",,,,
HGNC:5840,IGKVOR2@,Immunoglobulin kappa variable orphans on chromosome 2,2cen-q11,"2114012, 2111145",,
HGNC:5841,IGKVP@,"symbol withdrawn, see [HGNC:5840](/data/gene-symbol-report/#!/hgnc_id/HGNC:5840)",,,,
HGNC:5842,IGKVP1,"symbol withdrawn, see [HGNC:5764](/data/gene-symbol-report/#!/hgnc_id/HGNC:5764)",,,,
HGNC:5843,IGKVP2,"symbol withdrawn, see [HGNC:5765](/data/gene-symbol-report/#!/hgnc_id/HGNC:5765)",,,,
HGNC:5844,IGKVP3,"symbol withdrawn, see [HGNC:5833](/data/gene-symbol-report/#!/hgnc_id/HGNC:5833)",,,,
HGNC:5845,IGKVP4,"symbol withdrawn, see [HGNC:5812](/data/gene-symbol-report/#!/hgnc_id/HGNC:5812)",,,,
HGNC:5846,IGKVP5,"symbol withdrawn, see [HGNC:5772](/data/gene-symbol-report/#!/hgnc_id/HGNC:5772)",,,,
HGNC:5847,IGKVP6,"symbol withdrawn, see [HGNC:5813](/data/gene-symbol-report/#!/hgnc_id/HGNC:5813)",,,,
HGNC:5848,IGKVP7,"symbol withdrawn, see [HGNC:5773](/data/gene-symbol-report/#!/hgnc_id/HGNC:5773)",,,,
HGNC:5849,IGKVPZ1,"symbol withdrawn, see [HGNC:5760](/data/gene-symbol-report/#!/hgnc_id/HGNC:5760)",,,,
HGNC:5850,IGKVPZ2,"symbol withdrawn, see [HGNC:5761](/data/gene-symbol-report/#!/hgnc_id/HGNC:5761)",,,,
HGNC:5851,IGKVPZ3,"symbol withdrawn, see [HGNC:5762](/data/gene-symbol-report/#!/hgnc_id/HGNC:5762)",,,,
HGNC:5852,IGKVPZ4,"symbol withdrawn, see [HGNC:5763](/data/gene-symbol-report/#!/hgnc_id/HGNC:5763)",,,,
HGNC:5853,IGL,immunoglobulin lambda locus,22q11.2,"3923432, 6795508",,
HGNC:5854,IGLC@,immunoglobulin lambda constant cluster,22q11.2,,,
HGNC:5855,IGLC1,immunoglobulin lambda constant 1,22q11.22,,147220,P0CG04
HGNC:5856,IGLC2,immunoglobulin lambda constant 2,22q11.22,,,P0DOY2
HGNC:5857,IGLC3,immunoglobulin lambda constant 3 (Kern-Oz+ marker),22q11.22,,,P0DOY3
HGNC:5858,IGLC4,immunoglobulin lambda constant 4 (pseudogene),22q11.22,,,
HGNC:5859,IGLC5,immunoglobulin lambda constant 5 (pseudogene),22q11.22,,,
HGNC:5860,IGLC6,immunoglobulin lambda constant 6,22q11.22,,,P0CF74
HGNC:5861,IGLC7,immunoglobulin lambda constant 7,22q11.22,,,A0M8Q6
HGNC:15696,IGLCOR22-1,immunoglobulin lambda constant/OR22-1 (pseudogene),22q12.2-q12.3,,,
HGNC:15697,IGLCOR22-2,immunoglobulin lambda constant/OR22-2 (pseudogene),22q12.2-q12.3,,,
HGNC:5862,IGLJ@,immunoglobulin lambda joining cluster,22q11.2,,,
HGNC:5863,IGLJ1,immunoglobulin lambda joining 1,22q11.22,,,A0A0A0MT76
HGNC:5864,IGLJ2,immunoglobulin lambda joining 2,22q11.22,,,
HGNC:5865,IGLJ3,immunoglobulin lambda joining 3,22q11.22,,,
HGNC:5866,IGLJ4,immunoglobulin lambda joining 4 (non-functional),22q11.22,,,
HGNC:5867,IGLJ5,immunoglobulin lambda joining 5 (non-functional),22q11.22,,,
HGNC:5868,IGLJ6,immunoglobulin lambda joining 6,22q11.22,,,
HGNC:5869,IGLJ7,immunoglobulin lambda joining 7,22q11.22,,,
HGNC:28614,IGLJCOR18,immunoglobulin lambda joining-constant/OR18 (pseudogene),18p11.31,6801526,,
HGNC:5870,IGLL1,immunoglobulin lambda like polypeptide 1,22q11.23,"3139558, 2511029",146770,P15814
HGNC:5871,IGLL2P,"immunoglobulin lambda like polypeptide 2, pseudogene",22q11.23,"8406611, 3003227",,
HGNC:5872,IGLL3P,"immunoglobulin lambda like polypeptide 3, pseudogene",22q11.23,8406611,,
HGNC:38475,IGLL4P,"immunoglobulin lambda like polypeptide 4, pseudogene",22q11.21,,,
HGNC:38476,IGLL5,immunoglobulin lambda like polypeptide 5,22q11.22,,,B9A064
HGNC:34550,IGLON5,IgLON family member 5,19q13.41,,618861,A6NGN9
HGNC:5873,IGLP1,immune response to synthetic polypeptides 1,6p21.3,3923830,,
HGNC:5874,IGLP2,immune response to synthetic polypeptides 2,6p21.3,3923830,,
HGNC:5875,IGLV@,immunoglobulin lambda variable cluster,22q11.2,3923432,,
HGNC:5876,IGLV1-36,immunoglobulin lambda variable 1-36,22q11.22,,,A0A0B4J1U3
HGNC:5877,IGLV1-40,immunoglobulin lambda variable 1-40,22q11.22,,,P01703
HGNC:5878,IGLV1-41,immunoglobulin lambda variable 1-41 (pseudogene),22q11.22,,,
HGNC:5879,IGLV1-44,immunoglobulin lambda variable 1-44,22q11.22,,,P01699
HGNC:5880,IGLV1-47,immunoglobulin lambda variable 1-47,22q11.22,,,P01700
HGNC:5881,IGLV1-50,immunoglobulin lambda variable 1-50 (non-functional),22q11.22,,,A0A075B6I6
HGNC:5882,IGLV1-51,immunoglobulin lambda variable 1-51,22q11.22,,,P01701
HGNC:5883,IGLV1-62,immunoglobulin lambda variable 1-62 (pseudogene),22q11.22,,,
HGNC:5894,IGLV2-5,immunoglobulin lambda variable 2-5 (pseudogene),22q11.22,,,
HGNC:5895,IGLV2-8,immunoglobulin lambda variable 2-8,22q11.22,,,P01709
HGNC:5887,IGLV2-11,immunoglobulin lambda variable 2-11,22q11.22,,,P01706
HGNC:5888,IGLV2-14,immunoglobulin lambda variable 2-14,22q11.22,,,P01704
HGNC:5889,IGLV2-18,immunoglobulin lambda variable 2-18,22q11.22,,,A0A075B6J9
HGNC:5890,IGLV2-23,immunoglobulin lambda variable 2-23,22q11.22,,,P01705
HGNC:5891,IGLV2-28,immunoglobulin lambda variable 2-28 (pseudogene),22q11.22,,,
HGNC:5892,IGLV2-33,immunoglobulin lambda variable 2-33 (non-functional),22q11.22,,,A0A075B6J2
HGNC:5893,IGLV2-34,immunoglobulin lambda variable 2-34 (pseudogene),22q11.22,,,
HGNC:5896,IGLV3-1,immunoglobulin lambda variable 3-1,22q11.22,,,P01715
HGNC:5904,IGLV3-2,immunoglobulin lambda variable 3-2 (pseudogene),22q11.22,,,
HGNC:5915,IGLV3-4,immunoglobulin lambda variable 3-4 (pseudogene),22q11.22,,,
HGNC:5916,IGLV3-6,immunoglobulin lambda variable 3-6 (pseudogene),22q11.22,,,
HGNC:5917,IGLV3-7,immunoglobulin lambda variable 3-7 (pseudogene),22q11.22,,,
HGNC:5918,IGLV3-9,immunoglobulin lambda variable 3-9,22q11.22,,,A0A075B6K5
HGNC:5897,IGLV3-10,immunoglobulin lambda variable 3-10,22q11.22,,,A0A075B6K4
HGNC:5898,IGLV3-12,immunoglobulin lambda variable 3-12,22q11.22,,,A0A075B6K2
HGNC:5899,IGLV3-13,immunoglobulin lambda variable 3-13 (pseudogene),22q11.22,,,
HGNC:5900,IGLV3-15,immunoglobulin lambda variable 3-15 (pseudogene),22q11.22,,,
HGNC:5901,IGLV3-16,immunoglobulin lambda variable 3-16,22q11.22,,,A0A075B6K0
HGNC:5902,IGLV3-17,immunoglobulin lambda variable 3-17 (pseudogene),22q11.22,,,
HGNC:5903,IGLV3-19,immunoglobulin lambda variable 3-19,22q11.22,,,P01714
HGNC:5905,IGLV3-21,immunoglobulin lambda variable 3-21,22q11.22,,,P80748
HGNC:5906,IGLV3-22,immunoglobulin lambda variable 3-22,22q11.22,,,A0A075B6J6
HGNC:5907,IGLV3-24,immunoglobulin lambda variable 3-24 (pseudogene),22q11.22,,,
HGNC:5908,IGLV3-25,immunoglobulin lambda variable 3-25,22q11.22,,,P01717
HGNC:5909,IGLV3-26,immunoglobulin lambda variable 3-26 (pseudogene),22q11.22,,,
HGNC:5910,IGLV3-27,immunoglobulin lambda variable 3-27,22q11.22,,,P01718
HGNC:5911,IGLV3-29,immunoglobulin lambda variable 3-29 (pseudogene),22q11.22,,,
HGNC:5912,IGLV3-30,immunoglobulin lambda variable 3-30 (pseudogene),22q11.22,,,
HGNC:5913,IGLV3-31,immunoglobulin lambda variable 3-31 (pseudogene),22q11.22,,,
HGNC:5914,IGLV3-32,immunoglobulin lambda variable 3-32 (non-functional),22q11.22,,,A0A0A0MS00
HGNC:5919,IGLV4-3,immunoglobulin lambda variable 4-3,22q11.22,,,A0A075B6K6
HGNC:5920,IGLV4-60,immunoglobulin lambda variable 4-60,22q11.22,,,A0A075B6I1
HGNC:5921,IGLV4-69,immunoglobulin lambda variable 4-69,22q11.22,,,A0A075B6H9
HGNC:5922,IGLV5-37,immunoglobulin lambda variable 5-37,22q11.22,,,A0A075B6J1
HGNC:5923,IGLV5-39,immunoglobulin lambda variable 5-39,22q11.2 alternate reference locus,,,A0A0G2JS06
HGNC:5924,IGLV5-45,immunoglobulin lambda variable 5-45,22q11.22,,,A0A087WSX0
HGNC:5925,IGLV5-48,immunoglobulin lambda variable 5-48 (non-functional),22q11.22,,,A0A075B6I7
HGNC:5926,IGLV5-52,immunoglobulin lambda variable 5-52,22q11.22,,,A0A0A0MRZ9
HGNC:5927,IGLV6-57,immunoglobulin lambda variable 6-57,22q11.22,,,P01721
HGNC:5928,IGLV7-35,immunoglobulin lambda variable 7-35 (pseudogene),22q11.22,,,
HGNC:5929,IGLV7-43,immunoglobulin lambda variable 7-43,22q11.22,,,P04211
HGNC:5930,IGLV7-46,immunoglobulin lambda variable 7-46,22q11.22,,,A0A075B6I9
HGNC:5931,IGLV8-61,immunoglobulin lambda variable 8-61,22q11.22,,,A0A075B6I0
HGNC:5932,IGLV8OR8-1,immunoglobulin lambda variable 8/OR8-1 (pseudogene),8q11.21,,,
HGNC:5933,IGLV9-49,immunoglobulin lambda variable 9-49,22q11.22,,,A0A0B4J1Y8
HGNC:5884,IGLV10-54,immunoglobulin lambda variable 10-54,22q11.22,,,A0A075B6I4
HGNC:5885,IGLV10-67,immunoglobulin lambda variable 10-67 (pseudogene),22q11.22,,,
HGNC:5886,IGLV11-55,immunoglobulin lambda variable 11-55 (non-functional),22q11.22,,,A0A075B6I3
HGNC:5934,IGLVI-20,immunoglobulin lambda variable (I)-20 (pseudogene),22q11.22,,,
HGNC:5935,IGLVI-38,immunoglobulin lambda variable (I)-38 (pseudogene),22q11.22,,,
HGNC:5936,IGLVI-42,immunoglobulin lambda variable (I)-42 (pseudogene),22q11.22,,,
HGNC:5937,IGLVI-56,immunoglobulin lambda variable (I)-56 (pseudogene),22q11.22,,,
HGNC:5938,IGLVI-63,immunoglobulin lambda variable (I)-63 (pseudogene),22q11.22,,,
HGNC:5939,IGLVI-68,immunoglobulin lambda variable (I)-68 (pseudogene),22q11.22,,,
HGNC:5940,IGLVI-70,immunoglobulin lambda variable (I)-70 (pseudogene),22q11.22,,,
HGNC:5941,IGLVIV-53,immunoglobulin lambda variable (IV)-53 (pseudogene),22q11.22,,,
HGNC:5942,IGLVIV-59,immunoglobulin lambda variable (IV)-59 (pseudogene),22q11.22,,,
HGNC:5943,IGLVIV-64,immunoglobulin lambda variable (IV)-64 (pseudogene),22q11.22,,,
HGNC:5944,IGLVIV-65,immunoglobulin lambda variable (IV)-65 (pseudogene),22q11.22,,,
HGNC:15692,IGLVIV-66-1,immunoglobulin lambda variable (IV)-66-1 (pseudogene),22q11.22,,,
HGNC:15694,IGLVIVOR22-1,immunoglobulin lambda variable (IV)/OR22-1 (pseudogene),22q11.2-q12.1,,,
HGNC:15695,IGLVIVOR22-2,immunoglobulin lambda variable (IV)/OR22-2 (pseudogene),22q12.2-q12.3,,,
HGNC:5945,IGLVV-58,immunoglobulin lambda variable (V)-58 (pseudogene),22q11.22,,,
HGNC:5946,IGLVV-66,immunoglobulin lambda variable (V)-66 (pseudogene),22q11.22,,,
HGNC:15689,IGLVVI-22-1,immunoglobulin lambda variable (VI)-22-1 (pseudogene),22q11.22,,,
HGNC:15690,IGLVVI-25-1,immunoglobulin lambda variable (VI)-25-1 (pseudogene),22q11.22,,,
HGNC:15691,IGLVVII-41-1,immunoglobulin lambda variable (VII)-41-1 (pseudogene),22q11.22,,,
HGNC:5947,IGO1,"symbol withdrawn, see [HGNC:4640](/data/gene-symbol-report/#!/hgnc_id/HGNC:4640)",,,,
HGNC:5948,IGSF1,immunoglobulin superfamily member 1,Xq25,"9521868, 9729118",300137,Q8N6C5
HGNC:5950,IGSF3,immunoglobulin superfamily member 3,1p13.1,9790749,603491,O75054
HGNC:5952,IGSF5,immunoglobulin superfamily member 5,21q22.2,,610638,Q9NSI5
HGNC:5953,IGSF6,immunoglobulin superfamily member 6,16p12.2,9809579,606222,O95976
HGNC:17813,IGSF8,immunoglobulin superfamily member 8,1q23.2,"11504738, 11673522",606644,Q969P0
HGNC:18132,IGSF9,immunoglobulin superfamily member 9,1q23.2,11991715,609738,Q9P2J2
HGNC:32326,IGSF9B,immunoglobulin superfamily member 9B,11q25,,613773,Q9UPX0
HGNC:26384,IGSF10,immunoglobulin superfamily member 10,3q25.1,27137492,617351,Q6WRI0
HGNC:16669,IGSF11,immunoglobulin superfamily member 11,3q13.32,12207903,608351,Q5DX21
HGNC:40777,IGSF11-AS1,IGSF11 antisense RNA 1,3q13.32,,,
HGNC:28246,IGSF21,immunoglobin superfamily member 21,1p36.13,28864826,,Q96ID5
HGNC:41190,IGSF21-AS1,IGSF21 antisense RNA 1,1p36.13,,,
HGNC:26750,IGSF22,immunoglobulin superfamily member 22,11p15.1,,,Q8N9C0
HGNC:40040,IGSF23,immunoglobulin superfamily member 23,19q13.31,,,A1L1A6
HGNC:5954,IHG1,iris hypoplasia with glaucoma 1,X,,,
HGNC:5955,IHG2,"symbol withdrawn, see [HGNC:9005](/data/gene-symbol-report/#!/hgnc_id/HGNC:9005)",,,,
HGNC:5956,IHH,Indian hedgehog signaling molecule,2q35,"7590746, 14770182",600726,Q14623
HGNC:27945,IHO1,interactor of HORMAD1 1,3p21.31,27723721,,Q8IYA8
HGNC:5957,II,"symbol withdrawn, see [HGNC:4204](/data/gene-symbol-report/#!/hgnc_id/HGNC:4204)",6pter,2791656,,
HGNC:5958,IK,IK cytokine,5q31.3,7970704,600549,Q13123
HGNC:26430,IKBIP,IKBKB interacting protein,12q23.1,15389287,609861,Q70UQ0
HGNC:31413,IKBKAP-IT1,IKBKAP intronic transcript 1 (non-protein coding),9q31.3,,,
HGNC:5960,IKBKB,inhibitor of nuclear factor kappa B kinase subunit beta,8p11.21,"9878263, 9763654, 18308615",603258,O14920
HGNC:14552,IKBKE,inhibitor of nuclear factor kappa B kinase subunit epsilon,1q32.1,"10421793, 10882136",605048,Q14164
HGNC:5961,IKBKG,inhibitor of nuclear factor kappa B kinase regulatory subunit gamma,Xq28,"9751060, 10087442, 11590134",300248,Q9Y6K9
HGNC:24455,IKBKGP1,inhibitor of nuclear factor kappa B kinase subunit gamma pseudogene 1,Xq28,11709543,,
HGNC:13176,IKZF1,IKAROS family zinc finger 1,7p12.2,"1439790, 7935426",603023,Q13422
HGNC:13177,IKZF2,IKAROS family zinc finger 2,2q34,"9512513, 9560339",606234,Q9UKS7
HGNC:13178,IKZF3,IKAROS family zinc finger 3,17q12-q21.1,"9155026, 10552935",606221,Q9UKT9
HGNC:13179,IKZF4,IKAROS family zinc finger 4,12q13.2,10978333,606239,Q9H2S9
HGNC:14283,IKZF5,IKAROS family zinc finger 5,10q26.13,10978333,606238,Q9H5V7
HGNC:5991,IL1A,interleukin 1 alpha,2q14.1,"8188271, 2989698",147760,P01583
HGNC:5992,IL1B,interleukin 1 beta,2q14.1,"2954882, 2989698",147720,P01584
HGNC:15552,IL1F10,interleukin 1 family member 10,2q14.1,"11747621, 11991723, 11991722",615296,Q8WWZ1
HGNC:5993,IL1R1,interleukin 1 receptor type 1,2q11.2-q12.1,"1833184, 10191101",147810,P14778
HGNC:53898,IL1R1-AS1,IL1R1 antisense RNA 1,2q12.1,29763905,,
HGNC:5994,IL1R2,interleukin 1 receptor type 2,2q11.2,"10191101, 1833184",147811,P27930
HGNC:5995,IL1RAP,interleukin 1 receptor accessory protein,3q28,"9479509, 9065432",602626,Q9NPH3
HGNC:5996,IL1RAPL1,interleukin 1 receptor accessory protein like 1,Xp21.3-p21.2,"10471494, 10757639",300206,Q9NZN1
HGNC:5997,IL1RAPL2,interleukin 1 receptor accessory protein like 2,Xq22.3,10757639,300277,Q9NP60
HGNC:5998,IL1RL1,interleukin 1 receptor like 1,2q12.1,"1482686, 10191101, 16286016",601203,Q01638
HGNC:5999,IL1RL2,interleukin 1 receptor like 2,2q12.1,"8898719, 10191101, 11466363",604512,Q9HB29
HGNC:6000,IL1RN,interleukin 1 receptor antagonist,2q14.1,"1386337, 8432529",147679,P18510
HGNC:6001,IL2,interleukin 2,4q27,3260003,147680,P60568
HGNC:6007,IL2R,"symbol withdrawn, see [HGNC:6008](/data/gene-symbol-report/#!/hgnc_id/HGNC:6008)",,,,
HGNC:6008,IL2RA,interleukin 2 receptor subunit alpha,10p15.1,"3925551, 17676041",147730,P01589
HGNC:6009,IL2RB,interleukin 2 receptor subunit beta,22q12.3,,146710,P14784
HGNC:6010,IL2RG,interleukin 2 receptor subunit gamma,Xq13.1,"1631559, 7883965",308380,P31785
HGNC:6011,IL3,interleukin 3,5q31.1,3489530,147740,P08700
HGNC:6012,IL3RA,interleukin 3 receptor subunit alpha,Xp22.3 and Yp13.3,1833064,"308385, 430000",P26951
HGNC:6013,IL3RB,"symbol withdrawn, see [HGNC:2436](/data/gene-symbol-report/#!/hgnc_id/HGNC:2436)",,,,
HGNC:6014,IL4,interleukin 4,5q31.1,3016727,147780,P05112
HGNC:19094,IL4I1,interleukin 4 induced 1,19q13.33,12031486,609742,Q96RQ9
HGNC:6015,IL4R,interleukin 4 receptor,16p12.1,1679753,147781,P24394
HGNC:6016,IL5,interleukin 5,5q31.1,3498940,147850,P05113
HGNC:6017,IL5RA,interleukin 5 receptor subunit alpha,3p26.2,1732409,147851,Q01344
HGNC:6018,IL6,interleukin 6,7p15.3,3294161,147620,P05231
HGNC:40301,IL6-AS1,IL6 antisense RNA 1,7p15.3,,,
HGNC:6019,IL6R,interleukin 6 receptor,1q21.3,,147880,P08887
HGNC:53716,IL6R-AS1,IL6R antisense RNA 1,1q21.3,28839111,,
HGNC:6020,IL6RP1,interleukin 6 receptor pseudogene 1,9q22.2,1889804,,
HGNC:6021,IL6ST,interleukin 6 signal transducer,5q11.2,2261637,600694,P40189
HGNC:16241,IL6ST2,"symbol withdrawn, see [HGNC:3368](/data/gene-symbol-report/#!/hgnc_id/HGNC:3368)",reserved,,,
HGNC:6022,IL6STP1,interleukin 6 signal transducer pseudogene 1,17p12,7736792,,
HGNC:6023,IL7,interleukin 7,8q21.13,,146660,P13232
HGNC:6024,IL7R,interleukin 7 receptor,5p13.2,2317865,146661,P16871
HGNC:6029,IL9,interleukin 9,5q31.1,8379467,146931,P15248
HGNC:6030,IL9R,interleukin 9 receptor,Xq28 and Yq12,"1376929, 8666384",300007,Q01113
HGNC:6031,IL9RP1,interleukin 9 receptor pseudogene 1,9q34.3,8666384,,
HGNC:6032,IL9RP2,interleukin 9 receptor pseudogene 2,10p15.3,8666384,,
HGNC:6033,IL9RP3,interleukin 9 receptor pseudogene 3,16p13.3,8666384,,
HGNC:6034,IL9RP4,interleukin 9 receptor pseudogene 4,18p11.32,8666384,,
HGNC:5962,IL10,interleukin 10,1q32.1,9162098,124092,P22301
HGNC:5963,IL10R,"symbol withdrawn, see [HGNC:5964](/data/gene-symbol-report/#!/hgnc_id/HGNC:5964)",,,,
HGNC:5964,IL10RA,interleukin 10 receptor subunit alpha,11q23.3,8120391,146933,Q13651
HGNC:5965,IL10RB,interleukin 10 receptor subunit beta,21q22.11,"8314576, 9312047",123889,Q08334
HGNC:44303,IL10RB-DT,IL10RB divergent transcript,21q22.11,,,
HGNC:5966,IL11,interleukin 11,19q13.42,1386338,147681,P20809
HGNC:5967,IL11RA,interleukin 11 receptor subunit alpha,9p13.3,"7670098, 8808281",600939,Q14626
